x,Curve1
4.27844,0.319601
6.89304,-0.0773297
8.31919,-0.0777141
11.6469,-0.588045
14.2615,-0.645353
17.3514,-1.26883
20.6791,-0.873498
22.343,-0.930551
23.7691,-0.987539
27.5722,-1.61121
32.0883,-2.57469
33.039,-2.46174
34.9406,-3.1981
38.0306,-3.59516
40.6452,-4.1053
44.2105,-4.89871
47.7759,-5.46571
49.9151,-5.52289
50.8659,-5.97597
52.5297,-6.20284
55.8574,-5.41128
57.9966,-6.0345
59.8981,-6.88407
62.275,-6.7715
64.8896,-6.7156
67.0289,-6.9992
70.3565,-6.77368
72.0204,-7.73639
73.4465,-7.90659
77.9626,-8.98328
79.6265,-8.81392
81.0526,-11.4747
86.7572,-10.4007
87.708,-9.72175
89.8472,-9.66573
94.601,-9.27078
95.7895,-10.1202
98.4041,-10.0077
104.584,-10.2357
107.674,-8.53846
109.813,-6.5579
110.526,-5.65243
115.518,-4.18208
117.657,-4.18266
120.747,-3.90047
123.837,-4.18432
125.739,-3.44899
129.542,-3.45001
130.73,-3.16731
